index,real-mod,which-found,clinet,server
2353,[哥布林商人] goblintraders-1.8.0-1.18.2.jar,goblin-traders, 客户端需装, 服务端需装
None,[匠魂] TConstruct-1.18.2-3.7.1.155.jar,None,,
1893,[垃圾槽] trashslot-forge-1.18.2-11.0.3.jar,trashslot, 客户端可选, 服务端需装
4647,[坚固地牢] stalwart-dungeons-1.18.2-1.2.8.jar,stalwart-dungeons, 客户端需装, 服务端需装
527,[夸克] Quark-3.2-358.jar,quark, 客户端需装, 服务端需装
527,[夸克] Quark-3.2-358.jar.disabled,quark, 客户端需装, 服务端需装
None,[匠魂蓝图] tconplanner-1.18.2-1.2.0.jar,None,,
2049,[失落废墟] Rex's-AdditionalStructures-1.18.2-(v.3.1.1).jar,additional-structures, 客户端可选, 服务端需装
9114,[存储标签] labels-1.18.2-1.0.jar,labels, 客户端需装, 服务端需装
4228,[存档置顶] cherishedworlds-forge-1.18-5.1.1.0.jar,cherished-worlds, 客户端需装, 服务端无效
3058,[实体渲染机制优化] entityculling-forge-1.6.1-mc1.18.2.jar,entity-culling, 客户端需装, 服务端无效
2012,[客户端微调] clienttweaks-forge-1.18.1-7.1.0.jar,client-tweaks, 客户端需装, 服务端无效
2264,[属性修复] AttributeFix-Forge-1.18.2-14.0.2.jar,attributefix, 客户端需装, 服务端需装
1388,[帕秋莉手册] Patchouli-1.18.2-71.1.jar,patchouli, 客户端需装, 服务端需装
2441,[崩溃优化] notenoughcrashes-4.2.0+1.18.2-forge.jar,not-enough-crashes, 客户端可选, 服务端可选
3455,[干净利落] cleancut-mc1.18.2-4.0-forge.jar,cleancut, 客户端需装, 服务端无效
None,[地牢浮现之时] DungeonsArise-1.18.2-2.1.52-release.jar,None,,
3545,[建筑手杖] constructionwand-1.18.2-2.9.jar,construction-wand, 客户端需装, 服务端需装
1842,[提示] Tips-Forge-1.18.2-5.0.11.jar,sips, 客户端需装, 服务端需装
3131,[护甲上限突破] overloadedarmorbar-1.18.2-6.1.jar,overloaded-armor-bar, 客户端需装, 服务端无效
5216,[拾取提示] PickUpNotifier-v3.2.1-1.18.2-Forge.jar,pick-up-notifier, 客户端需装, 服务端可选
3303,[星光] starlight-1.0.2+forge.546ae87.jar,starlight-, 客户端可选, 服务端需装
4395,[探险者指南针] ExplorersCompass-1.18.2-1.3.0-forge.jar,explorers-compass, 客户端需装, 服务端需装
5519,[无限附魔修复] BowInfinityFix-1.18.x-rv11.jar,bow-infinity-fix, 客户端需装, 服务端需装
3027,[更多熔炉] ironfurnaces-1.18.2-3.3.3.jar,iron-furnaces, 客户端需装, 服务端需装
3072,[更好的刷怪笼控制] betterspawnercontrol-1.18.2-4.3.jar,better-spawner-control, 客户端可选, 服务端需装
2950,[更好的延迟显示] BetterPingDisplay-1.18.2-1.1.jar,better-ping-display, 客户端需装, 服务端无效
None,[暮色森林] twilightforest-1.18.2-4.1.1494-universal.jar,None,,
5792,[更好的模组按钮] BetterModsButton-v3.2.4-1.18.2-Forge.jar,better-mods-button, 客户端需装, 服务端无效
1530,[更好的进度] BetterAdvancements-1.18.2-0.1.2.125.jar,better-advancements, 客户端需装, 服务端无效
4498,[更高级联机设置] mcwifipnp-1.7.3-1.18.2-forge.jar,mcwifipnp, 客户端需装, 服务端无效
None,[暮色乐事] TwilightDelight-forge-1.18.2-1.2.0-Beta.jar,None,,
3452,[月亮事件] Enhanced_Celestials-forge-1.18.2-2.0.7.jar,enhanced-celestials, 客户端需装, 服务端需装
6298,[末地乐事] ends_delight-1.18.2-1.2.1.jar,ends-delight, 客户端需装, 服务端需装
1173,[树叶快速腐烂] FastLeafDecay-28.jar,fast-leaf-decay, 客户端无效, 服务端需装
6298,[末影乐事] endersdelight-1.18.2-1.2.1.jar,ends-delight, 客户端需装, 服务端需装
None,[末地：创世] endrem_forge-5.2.2-R-1.18.2.jar,None,,
None,[暮色乐事：冰雪豪饮] TwilightDelightFrozenPride-forge-1.18.2-1.0.0.jar,None,,
2092,[治愈营火] healingcampfire-1.18.2-5.2.jar,healing-campfire, 客户端可选, 服务端需装
1360,[游戏阶段] GameStages-Forge-1.18.2-8.1.3.jar,game-stages, 客户端需装, 服务端需装
4339,[没有史莱姆的超平坦世界] superflatworldnoslimes-1.18.2-3.1.jar,superflat-world-no-slimes, 客户端可选, 服务端需装
4936,[火把弓] [1.18.x][Forge]TorchBowMod_v1.1.jar,torchbowmod, 客户端需装, 服务端需装
6769,[没有配方书重制版] norecipebookreborn-1.0.5.jar.disabled,no-recipe-book-reborn, 客户端需装, 服务端无效
1605,[物品过滤器] item-filters-forge-1802.2.8-build.50.jar,item-filters, 客户端需装, 服务端需装
None,[物品栏HUD+] invhud.forge.1.18.2-3.4.18.jar,None,,
3482,[玉 🔍] Jade-1.18.2-forge-5.3.2.jar,jade, 客户端可选, 服务端可选
6881,[物品物理掉落] ItemPhysicLite_FORGE_v1.5.1_mc1.18.2.jar,itemphysic-lite, 客户端需装, 服务端需装
1914,[玩家救援] PlayerRevive_FORGE_v2.0.14_mc1.18.2.jar.disabled,playerrevive, 客户端需装, 服务端需装
None,[氪Forge版] krypton-0.1.10-SNAPSHOT.jar,None,,
4514,[现代化 UI] ModernUI-Forge-1.18.2-3.10.1.1-universal.jar,modernxl, 客户端需装, 服务端需装
11714,[物品高亮] Highlighter-1.18.1-1.1.2.jar,highlight, 客户端需装, 服务端无效
8714,[现代化修复] modernfix-forge-5.18.0+mc1.18.2.jar,modernfix, 客户端可选, 服务端可选
3448,[禁用实验性设置警告] shutupexperimentalsettings-1.0.5.jar,shutup-experimental-settings, 客户端需装, 服务端无效
6324,[精妙存储] sophisticatedstorage-1.18.2-0.9.7.764.jar,sophisticated-core, 客户端需装, 服务端需装
2118,[经验之书] xptome-1.18.2-2.1.7.jar,xp-tome, 客户端需装, 服务端需装
3739,[精妙背包] sophisticatedbackpacks-1.18.2-3.20.2.1036.jar,sophisticated-backpacks, 客户端需装, 服务端需装
6324,[精妙核心] sophisticatedcore-1.18.2-0.6.4.586.jar,sophisticated-core, 客户端需装, 服务端需装
1188,[自动汉化更新] I18nUpdateMod-3.5.5-all.jar,i18nupdatemod, 客户端需装, 服务端无效
